Número,Fecha (dd/mm/aa),Nombre actividad,Costo,Presupuesto,Tiempo invertido,Tipo,Momento,No. de personas
108,9/17/2025,Transporte a casa,5.746,20,15,6,2,2
109,9/18/2025,Transporte al instituto,5.746,20,20,6,1,2
110,9/18/2025,Café,35,50,15,1,1,1
111,9/18/2025,Comida,130,150,60,1,2,1
112,9/19/2025,Transporte al instituto,5.746,20,20,6,1,2
113,9/19/2025,Café,35,50,15,1,1,1
114,9/19/2025,Transporte a casa,5.746,20,15,6,2,2
115,9/20/2025,Salida con amigos,150,200,120,4,3,3
116,9/21/2025,Transporte fin de semana,15,30,25,6,2,2
117,9/21/2025,Desayuno,100,120,30,1,1,2
118,9/22/2025,Transporte al instituto,5.746,20,20,6,1,2
119,9/22/2025,Café,35,50,15,1,1,1
120,9/22/2025,Transporte a casa,5.746,20,15,6,2,2
121,9/23/2025,Transporte al instituto,5.746,20,20,6,1,2
122,9/23/2025,Café,35,50,15,1,1,1
123,9/23/2025,Transporte a casa,5.746,20,15,6,2,2
124,9/24/2025,Transporte al instituto,5.746,20,20,6,1,2
125,9/24/2025,Café,35,50,15,1,1,1
126,9/24/2025,Transporte a casa,5.746,20,15,6,2,2
127,9/25/2025,Transporte al instituto,5.746,20,20,6,1,2
128,9/25/2025,Café,35,50,15,1,1,1
129,9/25/2025,Comida,140,150,60,1,2,1
130,9/26/2025,Transporte al instituto,5.746,20,20,6,1,2
131,9/26/2025,Café,35,50,15,1,1,1
132,9/26/2025,Transporte a casa,5.746,20,15,6,2,2
133,9/27/2025,Cena en restaurante,450,500,120,1,3,4
134,9/28/2025,Transporte fin de semana,15,30,25,6,2,2
135,9/28/2025,Tarea/Proyecto,0,0,120,5,1,1
136,9/29/2025,Transporte al instituto,5.746,20,20,6,1,2
137,9/29/2025,Café,35,50,15,1,1,1
138,9/29/2025,Transporte a casa,5.746,20,15,6,2,2
139,9/30/2025,Transporte al instituto,5.746,20,20,6,1,2
140,9/30/2025,Café,35,50,15,1,1,1
141,9/30/2025,Transporte a casa,5.746,20,15,6,2,2
142,10/1/2025,Transporte al instituto,5.746,20,20,6,1,2
143,10/1/2025,Café,35,50,15,1,1,1
144,10/1/2025,Transporte a casa,5.746,20,15,6,2,2
145,10/2/2025,Transporte al instituto,5.746,20,20,6,1,2
146,10/2/2025,Café,35,50,15,1,1,1
147,10/2/2025,Comida,125,150,60,1,2,1
148,10/3/2025,Transporte al instituto,5.746,20,20,6,1,2
149,10/3/2025,Café,35,50,15,1,1,1
150,10/3/2025,Transporte a casa,5.746,20,15,6,2,2
151,10/4/2025,Videojuegos,0,0,180,4,3,1
152,10/5/2025,Transporte fin de semana,15,30,25,6,2,2
153,10/5/2025,Cena,200,250,90,1,3,3
154,10/6/2025,Transporte al instituto,5.746,20,20,6,1,2
155,10/6/2025,Café,35,50,15,1,1,1
156,10/6/2025,Transporte a casa,5.746,20,15,6,2,2
157,10/7/2025,Transporte al instituto,5.746,20,20,6,1,2
158,10/7/2025,Café,35,50,15,1,1,1
159,10/7/2025,Transporte a casa,5.746,20,15,6,2,2
160,10/8/2025,Transporte al instituto,5.746,20,20,6,1,2
161,10/8/2025,Café,35,50,15,1,1,1
162,10/8/2025,Transporte a casa,5.746,20,15,6,2,2
163,10/9/2025,Transporte al instituto,5.746,20,20,6,1,2
164,10/9/2025,Café,35,50,15,1,1,1
165,10/9/2025,Comida,110,150,60,1,2,1
166,10/10/2025,Transporte al instituto,5.746,20,20,6,1,2
167,10/10/2025,Café,35,50,15,1,1,1
168,10/10/2025,Transporte a casa,5.746,20,15,6,2,2
169,10/11/2025,Comida con amigos,280,350,90,1,2,3
170,10/12/2025,Desayuno,100,120,30,1,1,2
171,10/13/2025,Transporte al instituto,5.746,20,20,6,1,2
172,10/13/2025,Café,35,50,15,1,1,1
173,10/13/2025,Transporte a casa,5.746,20,15,6,2,2
174,10/14/2025,Transporte al instituto,5.746,20,20,6,1,2
175,10/14/2025,Café,35,50,15,1,1,1
176,10/14/2025,Transporte a casa,5.746,20,15,6,2,2
177,10/15/2025,Transporte al instituto,5.746,20,20,6,1,2
178,10/15/2025,Café,35,50,15,1,1,1
179,10/15/2025,Transporte a casa,5.746,20,15,6,2,2
180,10/16/2025,Transporte al instituto,5.746,20,20,6,1,2
181,10/16/2025,Café,35,50,15,1,1,1
182,10/16/2025,Comida,135,150,60,1,2,1
183,10/17/2025,Transporte al instituto,5.746,20,20,6,1,2
184,10/17/2025,Café,35,50,15,1,1,1
185,10/17/2025,Transporte a casa,5.746,20,15,6,2,2
186,10/18/2025,Cine,150,200,120,4,3,2
187,10/19/2025,Transporte fin de semana,15,30,25,6,2,2
188,10/19/2025,Cena,210,250,90,1,3,4
189,10/20/2025,Transporte al instituto,5.746,20,20,6,1,2
190,10/20/2025,Café,35,50,15,1,1,1
191,10/20/2025,Transporte a casa,5.746,20,15,6,2,2
192,10/21/2025,Transporte al instituto,5.746,20,20,6,1,2
193,10/21/2025,Café,35,50,15,1,1,1
194,10/21/2025,Transporte a casa,5.746,20,15,6,2,2
195,10/22/2025,Transporte al instituto,5.746,20,20,6,1,2
196,10/22/2025,Café,35,50,15,1,1,1
197,10/22/2025,Transporte a casa,5.746,20,15,6,2,2
198,10/23/2025,Transporte al instituto,5.746,20,20,6,1,2
199,10/23/2025,Café,35,50,15,1,1,1
200,10/23/2025,Comida,115,150,60,1,2,1
201,10/24/2025,Transporte al instituto,5.746,20,20,6,1,2
